set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set1,CHL(1-4)s,CHL1s,30,63,132,100,2110,2102,30,63,132,100,2110,2102,13099,13099,13099,13099,0,1,0,0.005,0.002,0.001,0.296,0.304
Set1,CHL(1-4)s,CHL2s,10,19,62,55,426,334,10,19,62,55,428,334,3279,3279,3279,3279,0,1,0,0,0,0.001,0.003,0.004
Set1,CHL(1-4)s,CHL3s,15,35,157,121,632,462,14,35,157,121,632,462,7402,7402,7402,7402,0,1,0,0,0,0,0,0
Set1,CHL(1-4)s,CHL4s,15,27,207,231,679,570,15,27,207,231,679,570,13932,13932,13932,13932,0,1,0,0.001,0,0,0,0.001
Set1,CHL(5-7),CHL5,10,18,20,20,176,115,10,18,20,20,178,115,390,390,390,390,0,1,0,0.001,0,0,0.004,0.005
Set1,CHL(5-7),CHL6,30,65,130,130,2394,2244,30,65,130,130,2394,2244,16869,16869,16869,16869,0,1,0,0.002,0.016,0.002,0.006,0.026
Set1,CHL(5-7),CHL7,35,75,130,130,2612,2479,34,75,130,130,2612,2479,16881,16881,16881,16881,0,1,0,0.003,0.017,0.003,0.013,0.036
Set1,CU(1-11),CU1,25,82,100,125,2425,4375,25,82,100,125,2425,4385,12330,12330,12330,12330,0,1,0,0.003,0.001,0.001,0,0.005
Set1,CU(1-11),CU2,35,90,150,175,5392,5696,34,90,150,175,5423,5714,26100,26100,26100,26100,0,1,0,0.005,0.003,0.001,0,0.009
Set1,CU(1-11),CU3,45,158,134,125,7279,6887,45,158,134,125,7279,6888,16723,16723,16723,16723,0,1,0,0.003,0.002,0.004,0.001,0.01
Set1,CU(1-11),CU4,45,113,285,354,11979,14204,45,113,285,354,11993,14226,99495,99495,99495,99495,0,1,0,0.016,0.017,0.006,0,0.039
Set1,CU(1-11),CU5,50,120,456,385,22609,17218,50,120,456,385,22690,17255,173364,173364,173364,173364,0,1,0,0.031,0.027,0.003,0,0.061
Set1,CU(1-11),CU6,45,124,356,447,17368,18875,45,124,356,447,17385,18880,158572,158572,158572,158572,0,1,0,0.031,0.024,0.003,0,0.058
Set1,CU(1-11),CU7,25,56,563,458,11852,10575,26,56,563,458,11994,10637,247150,247150,247150,247150,0,1,0,0.019,0.018,0.001,0.002,0.04
Set1,CU(1-11),CU8,35,78,587,756,19762,22270,35,78,587,756,19984,22335,433331,433331,433331,433331,0,1,0,0.066,0.044,0.002,0,0.112
Set1,CU(1-11),CU9,25,76,856,785,26235,24470,28,74,856,785,25482,23868,657055,657055,657055,657055,0,1,0,0.093,0.058,0.001,0,0.152
Set1,CU(1-11),CU10,40,129,794,985,33832,39951,40,129,794,985,33852,39960,773772,773772,773772,773772,0,1,0,0.126,0.24,0.013,0.009,0.388
Set1,CU(1-11),CU11,50,134,977,953,37180,40369,48,134,977,953,37180,40369,924696,924696,924696,924696,0,1,0,0.072,0.497,0.036,0.02,0.625
Set1,Hchl(3-8)s,Hchl3s,10,51,127,98,1400,1260,10,51,127,98,1400,1260,12215,12215,12215,12215,0,1,0,0,0.002,0.001,12.185,12.188
